feature,importance_mean,importance_std
acc_y_mean,0.18885592644594407,0.0004189501336111512
acc_x_mean,0.16958044597430433,0.00025665413590592046
acc_y_min,0.12131437112188054,7.54865105606628e-06
acc_x_max,0.10817216963328646,0.0005887947823723927
acc_y_max,0.10299756933435994,0.0007435421290215571
acc_x_min,0.09741911620393434,0.0002075879040415729
acc_z_mean,0.0793967118076,9.058381267268434e-05
acc_z_min,0.06674894696317768,0.0004189501336111512
bvp_peak_count,0.06036656249528205,0.000203813578513512
bvp_hr_std,0.05650542748010928,0.000237782508265727
bvp_hr_mean,0.04703564473028665,5.284055739240845e-05
acc_z_max,0.04154777541253374,5.284055739240845e-05
acc_z_range,0.03780364448872986,6.038920844841922e-05
eda_num_scr_peaks,0.02960958376738071,0.000101906789256756
eda_max,0.02697510454881713,5.6614882920413834e-05
acc_x_range,0.02179295559883443,0.0003849812038588807
acc_y_range,0.02177030964566634,0.0002491054848498542
eda_mean,0.02166840285640953,9.435813820074523e-05
acc_mag_range,0.02117019188670982,0.00023023385720971623
eda_scl_mean,0.019592523815994023,0.000101906789256756
eda_min,0.015523800896779738,4.9066231864403065e-05
acc_x_std,0.01527846973745789,0.0001736189742893024
acc_y_std,0.014855745278318733,0.0002491054848498542
bvp_hrv_lf_hf_ratio,0.013466793484004369,7.548651056055178e-05
acc_mag_max,0.00949997735404684,3.3968929752270505e-05
acc_z_std,0.006797560275978665,0.00019249060192938483
acc_mag_min,0.005193471926566717,7.548651056055178e-05
acc_mag_std,0.004585805516554187,3.3968929752270505e-05
bvp_hrv_mean_nn,0.004242341893503587,9.058381267268434e-05
bvp_hrv_lf,0.0041668553829430355,7.548651056055178e-05
bvp_hrv_rmssd,0.002370276431601648,7.548651056060729e-05
bvp_hrv_std_nn,0.002211754759424478,2.264595316814333e-05
eda_range,0.0016040883494119473,4.9066231864403065e-05
temp_min,0.0015436991409634726,1.1322976584071665e-05
temp_mean,0.001430469375122645,4.9066231864347554e-05
temp_max,0.0010983287286561727,6.416353397648011e-05
bvp_hrv_sampen,0.0008492232438063185,3.3968929752270505e-05
temp_range,0.0004529190633633662,9.813246372875062e-05
eda_scl_std,0.0003170433443543397,3.774325528027589e-05
bvp_hrv_hf,0.00029062306565813545,4.9066231864347554e-05
eda_std,0.00021136222956957829,7.54865105606628e-06
acc_y_peak_freq,8.303516161661806e-05,7.54865105606628e-06
eda_scr_std,4.1517580808281274e-05,1.8871627640137945e-05
eda_scr_mean,1.8871627640137945e-05,3.7743255280053845e-06
bvp_hrv_uhf,1.1322976584071665e-05,1.1322976584071665e-05
acc_z_peak_freq,3.7743255280053845e-06,3.7743255280053845e-06
acc_x_peak_freq,0.0,0.0
bvp_hrv_ulf,0.0,0.0
acc_mag_peak_freq,0.0,0.0
temp_std,-1.1322976584071665e-05,4.9066231864347554e-05
acc_mag_mean,-6.038920844847473e-05,2.264595316819884e-05
